i_time,local_time,Stand 13_Torque,Stand 14_Torque,Stand 15_Torque,Stand 16_Torque,Stand 17_Torque,Stand 13_LineSpeed,Stand 13_RPM,Stand 14_LineSpeed,Stand 14_RPM,Stand 15_LineSpeed,Stand 15_RPM,Stand 16_LineSpeed,Stand 16_RPM,Stand 17_LineSpeed,Stand 17_RPM,Stand 18_LineSpeed,Stand 18_RPM,Loop_Height Stand 12-13,Loop_Height Stand 13-14,Loop_Height Stand 14-15,Loop_HeightStand 15-16,Loop_Height Stand 16-17,Loop_Height Stand 17-18,Stand 13 downstream looper lifting command,Stand 14 downstream looper lifting command,Stand 15 downstream looper lifting command,Stand 16 downstream looper lifting command,Stand 17 downstream looper lifting command,Ghost Rolling,STAND_13_ACT_ELONGATION,STAND_14_ACT_ELONGATION,STAND_15_ACT_ELONGATION,STAND_16_ACT_ELONGATION,STAND_17_ACT_ELONGATION,STAND_18_ACT_ELONGATION,Stand 16 current,Stand 18 current,Master speed percentage,Stand 13 current,Stand 14 current,Stand 15 current,Stand 17 current
2024-05-28 07:20:29,2024-05-28 12:50:29,8.891089,0.15841584,1.1980197,2.980198,1.9207921,1026.8713,1684.2079,1125.2871,1591.1782,1305.8119,1437.6832,1486.4357,1520.6337,1766.0891,1301.9504,2067.099,1344.3268,22.26847,64.806305,108.0756,126.520294,118.83763,103.29356,t,f,f,f,f,f,1.128,1.081,1.152,1.138,1.206,1.173,221.43564,423.1683,89,318.59406,334.47525,259.58417,427.94058
2024-05-28 07:20:30,2024-05-28 12:50:30,18.442308,6.230769,35.346153,21.375,12.913462,1006.8558,1651.5769,1088.3846,1538.9807,1257.1731,1383.9615,1457.1154,1490.7212,1753.2788,1292.4807,2065.8076,1343.5577,28.217949,25.395449,13.312534,34.608414,62.95405,78.89318,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.206,1.173,333.5096,426.47116,89,353,353.31732,509.3654,515.5481
2024-05-28 07:20:31,2024-05-28 12:50:31,18.17647,6.9215684,46.156864,35.47059,42.97059,999.13727,1638.7255,1080,1527.0785,1242.7843,1368.1274,1423.2745,1456.098,1719.7646,1267.8529,2010.3235,1307.5098,27.715887,25.29108,23.248869,23.161995,22.14146,17.607605,t,t,t,t,t,f,1.128,1.081,1.152,1.1382648,1.206,1.173,408.5,673.4902,89,348.40195,340.17648,600.4216,801.3137
2024-05-28 07:20:32,2024-05-28 12:50:32,19.295238,6.838095,47.12381,36.50476,43.142857,999.0095,1638.5428,1079.8762,1526.9524,1243.6476,1369.1238,1421.6666,1454.4667,1719.219,1267.3619,2016.3619,1311.4,27.392809,24.702347,21.63623,23.141962,22.30407,20.940676,t,t,t,t,t,f,1.128,1.081,1.152,1.139,1.2065238,1.1734571,415.59048,679.8095,89,339.65714,332.86667,603.02856,795.55237
2024-05-28 07:20:33,2024-05-28 12:50:33,17.582523,5.9805827,46.718445,35.980583,42.330097,1000.75726,1641.5437,1082.0582,1530.0776,1246.3883,1372.1262,1422.6311,1455.4077,1720.7087,1268.4563,2018.5437,1312.8835,26.937983,24.103651,20.683006,22.788036,21.710531,18.034155,t,t,t,t,t,f,1.128,1.081,1.152,1.139,1.2074854,1.174,410.59222,653.31067,89,339.93204,338.49515,600.06793,793.4466
2024-05-28 07:20:34,2024-05-28 12:50:34,17.70297,5.742574,45.782177,35.316833,42.247524,1002.5248,1644.5742,1084.3466,1533.0792,1249.1486,1375.1683,1423.6436,1456.4851,1721.7426,1269.2574,2020.3367,1314.0396,26.625984,23.646633,19.642456,21.844374,20.969316,17.391863,t,t,t,t,t,f,1.128,1.081,1.152,1.1398811,1.208,1.174,407.58417,648.79205,89,334.45544,321.0891,587.45544,789.45544
2024-05-28 07:20:35,2024-05-28 12:50:35,16.875,5.019231,45.423077,35.528847,41.875,1003.7789,1646.6923,1085.8365,1535.2981,1250.4712,1376.6731,1425.1635,1458.0288,1722.2307,1269.6827,2021.5769,1314.7596,26.400837,23.25,18.959925,20.893648,19.94034,16.876272,t,t,t,t,t,f,1.128,1.081,1.152,1.14,1.208,1.174,409.07693,641.24036,89,319.69232,318.45193,585.1827,783.9711
2024-05-28 07:20:36,2024-05-28 12:50:36,16.450981,4.5,44.382355,35.117645,41.833332,1005.03925,1648.4608,1086.6863,1536.4803,1252.2255,1378.5686,1426.4902,1459.4509,1723.8334,1270.7646,2022.6471,1315.5392,26.128052,22.93869,18.41108,20.071323,18.809551,16.59981,t,t,t,t,t,f,1.128,1.081,1.152,1.14,1.208,1.174,405.2745,640.6961,89,311.7843,311.83334,572.402,780.402
2024-05-28 07:20:37,2024-05-28 12:50:37,15.971429,4.5142856,43.161903,34.47619,41.333332,1006.44763,1650.7428,1087.6571,1538.019,1253.7905,1380.2095,1427.6381,1460.5809,1725.0286,1271.762,2023.2762,1316.0095,26.10353,22.810732,18.097902,19.61649,18.329592,16.370394,t,t,t,t,t,f,1.128,1.081,1.152,1.1396191,1.208,1.1731714,400.29523,634.3714,89,312.13333,314.97144,564.4857,776.21906
2024-05-28 07:20:38,2024-05-28 12:50:38,16.252428,4.3592234,43.019417,34.37864,40.786407,1007.3204,1652.4175,1088.8446,1539.5339,1254.8446,1381.3981,1428.7185,1461.7185,1726.301,1272.6505,2024.2913,1316.4563,26.159964,22.865309,18.029737,19.429985,18.019032,16.32074,t,t,t,t,t,f,1.128,1.081,1.152,1.139,1.208,1.173,398.87378,628.19415,89,311.80582,313.35922,561.9806,769.0097
